FÃ³rmula,Dias,RCTA
A_N,7,21.6
A_N,7,18.8
A_N,7,16.7
A_N,7,18.2
A_N,7,19.8
A_N,7,18.1
A_N,7,17.6
A_N,7,14.8
AA_0.5C-B,7,20.0
AA_0.5C-B,7,19.2
AA_0.5C-B,7,20.9
AA_0.5C-B,7,18.2
AA_0.5C-B,7,18.7
AA_0.5C-B,7,18.7
AA_0.5C-B,7,18.2
AA_0.5C-B,7,18.7
AA_1.0C-B,7,18.9
AA_1.0C-B,7,18.7
AA_1.0C-B,7,19.9
AA_1.0C-B,7,18.7
AA_1.0C-B,7,18.8
AA_1.0C-B,7,19.5
AA_1.0C-B,7,18.9
AA_1.0C-B,7,18.7
A_N,28,24.4
A_N,28,24.7
A_N,28,21.6
A_N,28,22.5
A_N,28,19.8
A_N,28,20.2
A_N,28,21.7
A_N,28,24.1
AA_0.5C-B,28,22.9
AA_0.5C-B,28,19.9
AA_0.5C-B,28,20.6
AA_0.5C-B,28,21.6
AA_0.5C-B,28,21.1
AA_0.5C-B,28,21.6
AA_0.5C-B,28,21.6
AA_0.5C-B,28,21.1
AA_1.0C-B,28,18.5
AA_1.0C-B,28,21.0
AA_1.0C-B,28,23.8
AA_1.0C-B,28,22.8
AA_1.0C-B,28,23.2
AA_1.0C-B,28,22.2
AA_1.0C-B,28,22.8
AA_1.0C-B,28,23.2
A_N,91,26.5
A_N,91,23.3
A_N,91,23.7
A_N,91,23.3
A_N,91,23.7
A_N,91,24.2
A_N,91,21.2
A_N,91,22.3
AA_0.5C-B,91,24.6
AA_0.5C-B,91,25.3
AA_0.5C-B,91,26.7
AA_0.5C-B,91,23.0
AA_0.5C-B,91,24.1
AA_0.5C-B,91,23.4
AA_0.5C-B,91,24.1
AA_0.5C-B,91,23.4
AA_1.0C-B,91,23.2
AA_1.0C-B,91,25.6
AA_1.0C-B,91,26.3
AA_1.0C-B,91,24.5
AA_1.0C-B,91,27.4
AA_1.0C-B,91,25.0
AA_1.0C-B,91,24.5
AA_1.0C-B,91,25.0
